"","mouse.number","origin","site","colonization","barcode"
"1","A","c","06","GF","6_GF_A_c_06"
"2","A","c","07","SPF","55_SPF_A_c_07"
"3","A","m","12","GF","24_GF_A_m_12"
"4","A","c","08","sDMDM","32_sDMDM_A_c_08"
"5","A","m","02","GF","14_GF_A_m_02"
"6","A","c","05","GF","5_GF_A_c_05"
"7","A","c","04","GF","4_GF_A_c_04"
"8","A","m","01","GF","13_GF_A_m_01"
"9","A","m","09","sDMDM","45_sDMDM_A_m_09"
"10","A","m","06","GF","18_GF_A_m_06"
"11","A","c","11","SPF","59_SPF_A_c_11"
"12","A","c","10","sDMDM","34_sDMDM_A_c_10"
"13","A","c","01","SPF","49_SPF_A_c_01"
"14","A","c","07","sDMDM","31_sDMDM_A_c_07"
"15","A","m","10","GF","22_GF_A_m_10"
"16","A","c","06","sDMDM","30_sDMDM_A_c_06"
"17","A","m","04","SPF","64_SPF_A_m_04"
"18","A","m","08","GF","20_GF_A_m_08"
"19","A","m","01","SPF","61_SPF_A_m_01"
"20","A","c","08","SPF","56_SPF_A_c_08"
"21","A","m","11","sDMDM","47_sDMDM_A_m_11"
"22","A","c","11","sDMDM","35_sDMDM_A_c_11"
"23","A","m","08","sDMDM","44_sDMDM_A_m_08"
"24","A","m","06","sDMDM","42_sDMDM_A_m_06"
"25","A","c","09","SPF","57_SPF_A_c_09"
"26","A","c","01","GF","1_GF_A_c_01"
"27","A","m","07","GF","19_GF_A_m_07"
"28","A","c","09","GF","9_GF_A_c_09"
"29","A","c","08","GF","8_GF_A_c_08"
"30","A","c","04","SPF","52_SPF_A_c_04"
"31","A","c","11","GF","11_GF_A_c_11"
"32","A","m","03","GF","15_GF_A_m_03"
"33","A","m","05","GF","17_GF_A_m_05"
"34","A","c","02","SPF","50_SPF_A_c_02"
"35","A","m","05","sDMDM","41_sDMDM_A_m_05"
"36","A","m","11","GF","23_GF_A_m_11"
"37","A","m","10","sDMDM","46_sDMDM_A_m_10"
"38","A","c","01","sDMDM","25_sDMDM_A_c_01"
"39","A","c","12","SPF","60_SPF_A_c_12"
"40","A","c","12","sDMDM","36_sDMDM_A_c_12"
"41","A","c","05","SPF","53_SPF_A_c_05"
"42","A","c","10","SPF","58_SPF_A_c_10"
"43","A","c","02","sDMDM","26_sDMDM_A_c_02"
"44","A","c","07","GF","7_GF_A_c_07"
"45","A","m","03","sDMDM","39_sDMDM_A_m_03"
"46","A","m","02","SPF","62_SPF_A_m_02"
"47","A","c","03","SPF","51_SPF_A_c_03"
"48","A","m","07","sDMDM","43_sDMDM_A_m_07"
"49","A","m","04","GF","16_GF_A_m_04"
"50","A","c","12","GF","12_GF_A_c_12"
"51","A","c","03","sDMDM","27_sDMDM_A_c_03"
"52","A","m","12","sDMDM","48_sDMDM_A_m_12"
"53","A","m","04","sDMDM","40_sDMDM_A_m_04"
"54","A","m","01","sDMDM","37_sDMDM_A_m_01"
"55","A","c","03","GF","3_GF_A_c_03"
"56","A","c","04","sDMDM","28_sDMDM_A_c_04"
"57","A","c","10","GF","10_GF_A_c_10"
"58","A","m","02","sDMDM","38_sDMDM_A_m_02"
"59","A","c","02","GF","2_GF_A_c_02"
"60","A","c","06","SPF","54_SPF_A_c_06"
"61","A","m","03","SPF","63_SPF_A_m_03"
"62","A","c","05","sDMDM","29_sDMDM_A_c_05"
"63","A","m","09","GF","21_GF_A_m_09"
"64","A","c","09","sDMDM","33_sDMDM_A_c_09"
"65","B","m","01","sDMDM","28_sDMDM_B_m_01"
"66","B","c","08","SPF","47_SPF_B_c_08"
"67","B","c","01","SPF","40_SPF_B_c_01"
"68","A","c","15","sDMDM","15_sDMDM_A_c_15"
"69","B","m","09","sDMDM","36_sDMDM_B_m_09"
"70","B","m","04","sDMDM","31_sDMDM_B_m_04"
"71","A","c","14","SPF","38_SPF_A_c_14"
"72","B","c","03","sDMDM","18_sDMDM_B_c_03"
"73","A","c","13","GF","61_GF_A_c_13"
"74","B","c","02","sDMDM","17_sDMDM_B_c_02"
"75","B","c","05","SPF","44_SPF_B_c_05"
