barcode,site,origin,microbiota,mouse number
sDMDM1_content_1,duo,content,OMM,1
sDMDM1_content_2,jej,content,OMM,1
sDMDM1_content_4,cec,content,OMM,1
sDMDM1_content_5,col,content,OMM,1
sDMDM1_mucus_1,duo,mucus,OMM,1
sDMDM1_mucus_4,cec,mucus,OMM,1
sDMDM1_mucus_5,col,mucus,OMM,1
sDMDM2_content_1,duo,content,OMM,2
sDMDM2_content_2,jej,content,OMM,2
sDMDM2_content_3,ile,content,OMM,2
sDMDM2_content_4,cec,content,OMM,2
sDMDM2_mucus_1,duo,mucus,OMM,2
sDMDM2_mucus_3,ile,mucus,OMM,2
sDMDM2_mucus_4,cec,mucus,OMM,2
sDMDM3_content_1,duo,content,OMM,3
sDMDM3_content_2,jej,content,OMM,3
sDMDM3_content_4,cec,content,OMM,3
sDMDM3_mucus_3,ile,mucus,OMM,3
sDMDM3_mucus_4,cec,mucus,OMM,3
sDMDM3_mucus_5,col,mucus,OMM,3
sDMDM4_content_1,duo,content,OMM,4
sDMDM4_content_2,jej,content,OMM,4
sDMDM4_content_3,ile,content,OMM,4
sDMDM4_mucus_1,duo,mucus,OMM,4
sDMDM4_mucus_2,jej,mucus,OMM,4
sDMDM4_mucus_3,ile,mucus,OMM,4
sDMDM4_mucus_4,cec,mucus,OMM,4
sDMDM4_mucus_5,col,mucus,OMM,4
sDMDM5_content_2,jej,content,OMM,5
sDMDM5_content_3,ile,content,OMM,5
sDMDM5_mucus_3,ile,mucus,OMM,5
sDMDM5_mucus_4,cec,mucus,OMM,5
sDMDM5_mucus_5,col,mucus,OMM,5
SPF1_content_4,cec,content,SPF,1
SPF1_content_5,col,content,SPF,1
SPF1_mucus_4,cec,mucus,SPF,1
SPF1_mucus_5,col,mucus,SPF,1
SPF2_content_1,duo,content,SPF,2
SPF2_content_2,jej,content,SPF,2
SPF2_content_4,cec,content,SPF,2
SPF2_content_5,col,content,SPF,2
SPF2_mucus_4,cec,mucus,SPF,2
SPF2_mucus_5,col,mucus,SPF,2
SPF3_content_1,duo,content,SPF,3
SPF3_content_2,jej,content,SPF,3
SPF3_content_3,ile,content,SPF,3
SPF3_content_5,col,content,SPF,3
SPF3_mucus_2,jej,mucus,SPF,3
SPF3_mucus_3,ile,mucus,SPF,3
SPF3_mucus_4,cec,mucus,SPF,3
SPF3_mucus_5,col,mucus,SPF,3
SPF4_content_1,duo,content,SPF,4
SPF4_content_2,jej,content,SPF,4
SPF4_content_4,cec,content,SPF,4
SPF4_content_5,col,content,SPF,4
SPF4_mucus_1,duo,mucus,SPF,4
SPF4_mucus_4,cec,mucus,SPF,4
SPF4_mucus_5,col,mucus,SPF,4
SPF5_content_1,duo,content,SPF,5
SPF5_content_2,jej,content,SPF,5
SPF5_content_5,col,content,SPF,5
SPF5_mucus_1,duo,mucus,SPF,5
SPF5_mucus_5,col,mucus,SPF,5
